Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks, 985
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen, 986
Dragon Ball GT: Gokuu Gaiden! Yuuki no Akashi wa Suushinchuu, 987
Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation, 988
Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi, 989
Kamisama Kazoku, 990
Usagi-chan de Cue!!, 991
Dual! Parallel Lun-Lun Monogatari, 992
Dual! Parallel Runrun Monogatari Special, 993
Sin in the Rain, 994
Tennis no Oujisama: Zenkoku Taikai-hen, 995
Bishoujo Senshi Sailor Moon: Sailor Stars, 996
Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito, 997
Blue Seed, 998
Blue Seed 2, 999
Uchuu Kaizoku Captain Herlock, 1000
Tide-Line Blue: Kyoudai, 1001
Top wo Nerae 2! Diebuster, 1002
Aa! Megami-sama! (TV) Specials, 1003
Kanojo to Kanojo no Neko, 1004
Star Ocean EX, 1005
Tenchi Muyou! in Love, 1006
Ranma ½ OVA, 1007
Ranma ½: Yomigaeru Kioku, 1008
Battle Spirits: Ryuuko no Ken, 1009
Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou, 1010
Ranma ½ Super, 1011
Sexy Commando Gaiden: Sugoi yo!! Masaru-san Specials, 1012
Le Chevalier D'Eon, 1013
Chicchana Yukitsukai Sugar Specials, 1014
Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi, 1015
Gunnm, 1016
Majutsushi Orphen, 1017
Majutsushi Orphen: Revenge, 1018
Honoo no Mirage, 1019
Honoo no Mirage: Minagiwa no Hangyakusha, 1020
Kaikan Phrase, 1021
Generator Gawl, 1022
Wolf's Rain OVA, 1023
Weiß Kreuz OVA, 1024
Kachou Ouji, 1025
Yakumotatsu, 1026
Psychic Force, 1027
Arete Hime, 1028
Omoide Poroporo, 1029
Heisei Tanuki Gassen Ponpoko, 1030
Hanare Toride no Yonna, 1031
Kumo no You ni Kaze no You ni, 1032
Sennen Joyuu, 1033
Ouritsu Uchuugun: Honneamise no Tsubasa, 1034
Patalliro Saiyuuki!, 1035
Kashou no Tsuki: Aki Kyougen, 1036
Saint Beast: Seijuu Kourin-hen, 1037
Mizuiro, 1038
Mizuiro (2003), 1039
Mizuiro Jidai, 1040
Zetsuai 1989, 1041
Bronze: Zetsuai Since 1989, 1042
Tokyo Babylon, 1043
Taiyou no Ouji: Horus no Daibouken, 1044
Naruto Narutimate Hero 3: Tsuini Gekitotsu! Jounin vs. Genin!! Musabetsu Dairansen Taikai Kaisai!!, 1074
Netrun-mon the Movie, 1075
Wizardry, 1076
Cardcaptor Sakura: Kero-chan ni Omakase!, 1078
Armitage III, 1079
Sentou Yousei Yukikaze, 1080
Space Pirate Captain Herlock: Outside Legend - The Endless Odyssey, 1081
Hikari to Mizu no Daphne, 1082
Ningen Kousaten, 1083
I''s, 1084
Interlude, 1085
Kenran Butou Sai: The Mars Daybreak, 1086
Kimagure Orange☆Road, 1087
Macross, 1088
Macross: Do You Remember Love?, 1089
Kidou Senshi Gundam I, 1090
Kidou Senshi Gundam II: Ai Senshi-hen, 1091
Kidou Senshi Gundam III: Meguriai Sora-hen, 1092
Oishinbo, 1093
One Piece: Umi no Heso no Daibouken-hen, 1094
Kidou Keisatsu Patlabor the Movie, 1095
Kidou Keisatsu Patlabor 2 the Movie, 1096
Lime-iro Senkitan, 1097
Samurai Girl Real Bout High School, 1098
